                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5088,                 1.1564,                0.82463,                0.64681,                0.35709,                0.45497,                0.34503,                 1.1846,                 1.0789,                0.81191,               0.008317,               0.008317,               0.008317
                     36,                 1.5259,                 1.1385,                0.82781,                0.49545,                0.42898,                0.45462,                0.34179,                 1.2015,                 1.1227,                0.80886,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.4601,                 1.1023,                0.81421,                0.56813,                0.41148,                0.45828,                0.35053,                 1.2133,                  1.081,                0.81039,               0.008218,               0.008218,               0.008218
                     38,                 1.5967,                 1.0998,                0.82552,                0.50821,                 0.4065,                0.44273,                0.33376,                 1.2543,                 1.1317,                0.80923,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.5577,                 1.0702,                0.81989,                0.62373,                0.40362,                0.46717,                0.35425,                 1.2682,                 1.0609,                0.81149,               0.008119,               0.008119,               0.008119
                     40,                 1.5405,                 1.0752,                0.82594,                0.53855,                0.41726,                0.46696,                0.35224,                 1.2409,                 1.0717,                0.80927,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.4941,                 1.0576,                0.82696,                0.60705,                0.40503,                0.47674,                0.36349,                 1.2427,                 1.0685,                0.80883,                0.00802,                0.00802,                0.00802
                     42,                 1.4657,                0.98357,                0.81782,                0.56947,                0.43848,                0.49356,                 0.3768,                 1.2372,                 1.0167,                 0.8107,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.4832,                      1,                0.82948,                0.57007,                 0.4147,                0.48983,                0.37369,                 1.2594,                 1.0607,                0.81072,               0.007921,               0.007921,               0.007921
                     44,                 1.5644,                0.99905,                0.82363,                 0.6007,                0.44811,                0.51183,                0.39847,                 1.2485,                  1.017,                0.81022,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.5173,                 1.0174,                0.81385,                0.50711,                0.46569,                0.49382,                0.37713,                 1.2494,                   1.01,                0.80878,               0.007822,               0.007822,               0.007822
                     46,                 1.4989,                 1.0093,                0.82512,                0.60898,                0.42692,                0.51782,                0.39636,                 1.2503,                  0.993,                0.80801,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.4644,                0.98614,                0.82048,                0.56232,                0.47458,                0.48703,                0.36918,                 1.2799,                0.97705,                0.80879,               0.007723,               0.007723,               0.007723
                     48,                 1.4669,                0.97597,                0.82201,                0.59283,                0.45919,                0.52852,                0.40389,                 1.2834,                0.95853,                0.80798,              0.0076735,              0.0076735,              0.0076735
                     49,                  1.635,                0.94395,                 0.8155,                0.54568,                0.45706,                0.51129,                0.39712,                 1.3049,                0.96675,                0.80865,               0.007624,               0.007624,               0.007624
