                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0803,                 1.4468,                0.82819,                0.52559,                0.32927,                0.34953,                0.25732,                0.92424,                 1.3563,                0.82198,              0.0091833,              0.0091833,              0.0091833
                     36,                 1.0836,                 1.4281,                 0.8266,                 0.5368,                0.32807,                0.33838,                 0.2525,                0.89752,                 1.3377,                0.81611,              0.0091585,              0.0091585,              0.0091585
                     37,                 1.0531,                 1.4116,                0.82948,                0.52275,                0.31036,                 0.3334,                0.24812,                0.90381,                 1.3613,                0.82077,              0.0091337,              0.0091337,              0.0091337
                     38,                 1.0497,                 1.3783,                0.83387,                0.47707,                0.34798,                0.35962,                0.27204,                 0.8946,                 1.3314,                0.81606,               0.009109,               0.009109,               0.009109
                     39,                 1.0819,                 1.4162,                0.83351,                0.52411,                0.32731,                0.34517,                0.25386,                0.90843,                  1.329,                0.81838,              0.0090843,              0.0090843,              0.0090843
                     40,                 1.0421,                 1.3844,                0.82873,                0.50402,                0.36345,                0.36026,                0.26652,                0.89739,                 1.3133,                0.81822,              0.0090595,              0.0090595,              0.0090595
                     41,                 1.0572,                 1.3429,                0.83128,                0.50141,                0.35417,                0.34307,                 0.2575,                0.88126,                  1.317,                0.81699,              0.0090347,              0.0090347,              0.0090347
                     42,                 1.0722,                 1.3571,                0.83403,                0.50116,                0.35003,                0.37102,                0.27695,                0.88909,                 1.2837,                0.81734,                0.00901,                0.00901,                0.00901
                     43,                 1.0394,                  1.357,                0.82956,                0.53571,                0.35018,                0.36545,                0.27572,                0.89786,                 1.2898,                0.81733,              0.0089853,              0.0089853,              0.0089853
                     44,                  1.013,                 1.3722,                 0.8326,                0.57659,                0.35155,                0.37363,                0.27987,                 0.8774,                 1.2906,                0.81392,              0.0089605,              0.0089605,              0.0089605
                     45,                 1.0887,                 1.3787,                0.83321,                0.52709,                 0.3803,                0.37863,                0.28446,                0.88501,                 1.2625,                0.81566,              0.0089358,              0.0089358,              0.0089358
                     46,                 1.0574,                 1.2984,                0.84244,                0.52376,                0.35808,                0.39276,                0.29706,                0.87808,                 1.2593,                0.81587,               0.008911,               0.008911,               0.008911
                     47,                 1.0935,                 1.4047,                0.81782,                0.61885,                0.32735,                0.38843,                0.29695,                0.88522,                 1.2584,                0.81709,              0.0088863,              0.0088863,              0.0088863
                     48,                 1.0318,                 1.3085,                0.82374,                0.52503,                0.36531,                 0.3844,                0.29099,                0.88128,                 1.2483,                0.81425,              0.0088615,              0.0088615,              0.0088615
                     49,                 1.0465,                 1.3121,                0.82969,                0.53756,                0.35117,                  0.391,                0.29759,                 0.8734,                 1.2606,                0.81612,              0.0088368,              0.0088368,              0.0088368
                     50,                 1.0595,                 1.3469,                0.83573,                 0.5743,                0.35518,                0.40351,                0.30619,                0.87969,                 1.2386,                0.81348,               0.008812,               0.008812,               0.008812
                     51,                 1.0417,                 1.3556,                0.82398,                0.52797,                0.37375,                0.40821,                0.31013,                0.87197,                 1.2293,                0.81441,              0.0087872,              0.0087872,              0.0087872
                     52,                 1.0327,                 1.2835,                0.82878,                0.58077,                0.37265,                0.40056,                0.29951,                0.88189,                 1.2055,                0.81598,              0.0087625,              0.0087625,              0.0087625
                     53,                 1.0803,                 1.2876,                0.83044,                0.54158,                0.36238,                0.40632,                0.30752,                0.87745,                 1.2301,                0.81348,              0.0087378,              0.0087378,              0.0087378
                     54,                 1.0338,                  1.307,                0.82874,                 0.5215,                0.37902,                0.41191,                0.31112,                0.86997,                 1.2097,                0.81436,               0.008713,               0.008713,               0.008713
                     55,                0.99594,                 1.2726,                0.81472,                0.53173,                0.36827,                 0.4071,                0.30462,                0.86573,                   1.21,                0.81257,              0.0086882,              0.0086882,              0.0086882
                     56,                 1.0267,                 1.2729,                0.82132,                0.51891,                0.39974,                0.43276,                0.32674,                0.86166,                 1.1938,                 0.8113,              0.0086635,              0.0086635,              0.0086635
                     57,                 1.0278,                 1.2579,                0.83048,                0.46878,                0.39849,                0.41748,                0.31428,                0.86224,                 1.2103,                0.81306,              0.0086388,              0.0086388,              0.0086388
                     58,                 1.0276,                  1.223,                0.81866,                0.50135,                0.40917,                0.42904,                0.32224,                0.86603,                 1.1902,                0.81496,               0.008614,               0.008614,               0.008614
                     59,                 1.0287,                 1.2561,                0.82865,                0.45816,                0.41504,                0.42836,                0.32674,                0.86234,                 1.1764,                0.81143,              0.0085893,              0.0085893,              0.0085893
                     60,                 1.0051,                 1.2738,                0.81929,                 0.5181,                0.40246,                0.43281,                0.32749,                0.85259,                  1.174,                 0.8124,              0.0085645,              0.0085645,              0.0085645
                     61,                  1.024,                 1.2517,                0.82579,                0.51714,                0.41659,                0.45872,                0.34919,                0.86275,                 1.1804,                0.81236,              0.0085398,              0.0085398,              0.0085398
                     62,                 1.0307,                 1.2396,                0.82531,                0.47978,                0.43481,                0.45703,                0.34951,                0.86563,                 1.1801,                0.81132,               0.008515,               0.008515,               0.008515
                     63,                0.99577,                  1.204,                0.81571,                0.53574,                0.39089,                0.45301,                0.34749,                0.85824,                 1.1428,                0.81231,              0.0084903,              0.0084903,              0.0084903
                     64,                 1.0309,                 1.2197,                0.82868,                0.56057,                0.39301,                0.44837,                0.33652,                 0.8618,                 1.1434,                0.81375,              0.0084655,              0.0084655,              0.0084655
                     65,                 1.0086,                 1.2349,                0.82487,                0.57701,                 0.3888,                0.44809,                0.33836,                 0.8581,                 1.1539,                0.81159,              0.0084408,              0.0084408,              0.0084408
                     66,                 1.0356,                 1.2503,                 0.8272,                0.53808,                0.38165,                 0.4422,                0.33587,                0.85383,                 1.1304,                0.81131,               0.008416,               0.008416,               0.008416
                     67,                 1.0268,                 1.1971,                0.82438,                0.62545,                0.35548,                0.43847,                0.33026,                0.85365,                 1.1453,                  0.811,              0.0083913,              0.0083913,              0.0083913
                     68,                 1.0048,                 1.2102,                 0.8166,                0.57739,                0.38961,                0.45314,                0.34469,                 0.8509,                 1.1233,                0.81142,              0.0083665,              0.0083665,              0.0083665
                     69,                 1.0105,                 1.2048,                0.82539,                0.56863,                0.40534,                0.46131,                0.35088,                0.84672,                 1.1401,                0.81033,              0.0083418,              0.0083418,              0.0083418
                     70,                  1.028,                 1.1922,                0.81663,                0.60917,                0.40657,                0.46983,                0.35593,                0.84015,                 1.1079,                0.81278,               0.008317,               0.008317,               0.008317
                     71,                0.99296,                 1.1751,                0.83127,                0.59129,                0.40799,                0.46265,                0.35033,                 0.8457,                 1.1136,                0.81014,              0.0082922,              0.0082922,              0.0082922
                     72,                 1.0282,                 1.1864,                0.81946,                 0.6083,                0.39523,                0.44568,                0.34024,                0.84871,                 1.1073,                0.80996,              0.0082675,              0.0082675,              0.0082675
                     73,                 1.0119,                 1.1856,                0.82044,                0.52887,                0.41449,                0.45829,                0.34799,                0.84655,                 1.1061,                0.80995,              0.0082428,              0.0082428,              0.0082428
                     74,                 1.0224,                 1.1632,                0.80864,                0.62116,                0.37717,                0.47311,                0.36193,                0.84186,                 1.0997,                0.80947,               0.008218,               0.008218,               0.008218
                     75,                0.98678,                  1.174,                0.82316,                0.52399,                0.43182,                 0.4795,                0.36359,                0.84384,                 1.1085,                0.80955,              0.0081932,              0.0081932,              0.0081932
                     76,                 1.0075,                 1.2055,                0.82903,                 0.6013,                0.43625,                0.50061,                0.37854,                0.83879,                 1.1004,                 0.8097,              0.0081685,              0.0081685,              0.0081685
                     77,                 1.0103,                 1.1829,                0.82058,                0.61219,                0.39743,                0.49145,                0.37606,                0.84599,                 1.0939,                0.81082,              0.0081437,              0.0081437,              0.0081437
                     78,                0.98551,                 1.1234,                0.81705,                0.66015,                0.38759,                0.49182,                0.37719,                0.84075,                 1.0763,                0.81209,               0.008119,               0.008119,               0.008119
                     79,                0.98528,                 1.1162,                 0.8194,                0.68258,                0.35723,                0.49709,                0.38106,                0.83554,                 1.0735,                0.81187,              0.0080942,              0.0080942,              0.0080942
