                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.88462,                0.77987,                0.81735,                0.67805,                0.49906,                0.63488,                 0.4938,                0.77839,                 0.7535,                0.80308,              0.0091585,              0.0091585,              0.0091585
                     37,                0.84379,                0.72872,                0.80614,                0.76604,                0.49918,                0.64886,                0.50454,                0.77147,                0.72762,                0.80272,              0.0091337,              0.0091337,              0.0091337
                     38,                0.84058,                0.71995,                0.81846,                0.70788,                0.52364,                0.62672,                 0.4888,                0.77422,                0.72869,                0.80399,               0.009109,               0.009109,               0.009109
                     39,                0.87184,                0.74845,                0.80924,                0.70393,                0.54408,                0.68463,                0.53308,                0.76713,                 0.7215,                0.80276,              0.0090843,              0.0090843,              0.0090843
                     40,                0.85839,                0.71342,                 0.8132,                0.73671,                0.50591,                0.63271,                0.49083,                0.77606,                0.77603,                0.80295,              0.0090595,              0.0090595,              0.0090595
                     41,                0.86147,                0.76341,                0.80922,                0.64673,                0.58457,                0.66008,                0.51889,                0.75761,                0.72166,                 0.8013,              0.0090347,              0.0090347,              0.0090347
                     42,                0.82747,                0.70593,                0.81377,                0.61287,                 0.5948,                0.67133,                0.52358,                0.75842,                0.70733,                0.80129,                0.00901,                0.00901,                0.00901
                     43,                0.82699,                0.71247,                0.80789,                  0.667,                0.56577,                0.66734,                0.52311,                0.75754,                 0.7096,                0.80034,              0.0089853,              0.0089853,              0.0089853
                     44,                0.83005,                0.70772,                0.80768,                0.69174,                0.56256,                0.68649,                0.54067,                0.75299,                0.69553,                0.80201,              0.0089605,              0.0089605,              0.0089605
                     45,                0.83984,                0.70492,                0.81768,                0.70697,                0.54773,                 0.6696,                0.52577,                0.75868,                0.69485,                0.80324,              0.0089358,              0.0089358,              0.0089358
                     46,                0.84927,                0.68329,                0.82054,                0.68036,                 0.5761,                0.69353,                0.54163,                0.75951,                0.70959,                0.80373,               0.008911,               0.008911,               0.008911
                     47,                0.85848,                0.70289,                0.80778,                0.69368,                 0.5817,                0.67313,                 0.5316,                0.74793,                0.69064,                0.79904,              0.0088863,              0.0088863,              0.0088863
                     48,                0.85354,                0.72107,                0.81107,                0.60505,                0.57416,                0.67938,                0.53561,                0.75532,                0.71762,                0.80118,              0.0088615,              0.0088615,              0.0088615
                     49,                0.78175,                0.64175,                0.81489,                0.65377,                0.59737,                0.68122,                0.53279,                0.75017,                0.67079,                0.80133,              0.0088368,              0.0088368,              0.0088368
                     50,                0.82536,                0.65858,                 0.8151,                0.73034,                0.54887,                0.68344,                0.54084,                0.74236,                0.66341,                0.80088,               0.008812,               0.008812,               0.008812
                     51,                0.81631,                0.65708,                0.81111,                0.67402,                0.58818,                0.67654,                0.53003,                 0.7473,                0.65829,                 0.8006,              0.0087872,              0.0087872,              0.0087872
                     52,                0.84201,                0.67161,                0.80415,                0.71474,                0.55933,                0.68365,                0.53401,                0.74842,                0.66931,                0.80084,              0.0087625,              0.0087625,              0.0087625
                     53,                0.82591,                0.64254,                0.80249,                 0.7151,                0.57329,                0.67441,                0.52848,                 0.7436,                0.64529,                0.80014,              0.0087378,              0.0087378,              0.0087378
                     54,                0.81727,                0.63491,                0.80866,                0.71014,                0.58154,                0.70084,                0.54957,                0.74332,                0.65216,                 0.7983,               0.008713,               0.008713,               0.008713
                     55,                0.82213,                0.64434,                0.80897,                0.75082,                0.58428,                0.69759,                0.55848,                0.73194,                0.62085,                0.79755,              0.0086882,              0.0086882,              0.0086882
                     56,                0.81135,                0.63811,                0.80679,                0.74368,                0.56369,                0.71384,                0.55918,                0.73697,                0.63694,                0.79731,              0.0086635,              0.0086635,              0.0086635
                     57,                0.82947,                0.63047,                0.80828,                0.75495,                0.57118,                0.70789,                0.56221,                0.73396,                0.63348,                0.79918,              0.0086388,              0.0086388,              0.0086388
                     58,                0.80815,                0.59881,                0.80026,                0.79634,                0.55096,                0.70927,                0.56016,                0.72836,                0.63182,                 0.7986,               0.008614,               0.008614,               0.008614
                     59,                0.80908,                0.61056,                0.80926,                0.72227,                0.62831,                0.72072,                0.56413,                  0.734,                0.64216,                0.79821,              0.0085893,              0.0085893,              0.0085893
                     60,                0.79235,                0.62125,                0.81066,                0.69113,                0.59466,                0.70091,                0.54928,                0.73245,                0.63552,                0.79735,              0.0085645,              0.0085645,              0.0085645
